no,class,name,address,menu,picture,insta
84,관광지,돌하르방 미술관,제주 제주시 조천읍 북촌서1길 70,None,tra_61,None
85,관광지,송악산전망대,제주특별자치도 서귀포시 대정읍 송악관광로 421-1,None,tra_62,None
86,관광지,외돌개 ,제주 서귀포시 서홍동 791,None,tra_63,None
87,관광지,쇠소깍,제주 서귀포시 쇠소깍로 104,None,tra_64,None
88,관광지,고살리 숲길,제주 서귀포시 남원읍 하례리 산54-2,None,tra_65,None
89,관광지,동백포레스트,제주특별자치도 서귀포시 남원읍 생기악로 53-38,None,tra_66,None
90,관광지,한남 시험림 탐방로,제주 서귀포시 남원읍 서성로651번길 235,None,tra_67,None
91,관광지,선족이오름,제주특별자치도 제주시 구좌읍 송당리 산140-2,None,tra_68,None
92,관광지,다랑쉬오름,제주 제주시 구좌읍 세화리 산6,None,tra_69,None
93,관광지,삼다수목장,제주특별자치도 제주시 비자림로 485-15,None,tra_70,None
94,관광지,수산저수지,제주 제주시 애월읍 수산리,None,tra_71,None
95,관광지,항파두리,제주 제주시 애월읍 항파두리로 50,None,tra_72,None
96,관광지,한림공원,제주 제주시 한림읍 한림로 300,None,tra_73,None
97,식당,육고깃집,제주 제주시 한림읍 한림중앙로 34,돼지고기,res_1,None
98,식당,국시트멍,제주 제주시 진군길 31-3,고기국수,res_2,None
99,식당,올래국수,제주 제주시 귀아랑길 24 올래국수,고기국수,res_3,None
100,식당,짬뽕에 취한날,제주 제주시 귀아랑2길 4,갈비짬뽕,res_4,None
101,식당,제주김만복,제주 서귀포시 월드컵로 117 제주김만복 서귀포점,전복김밥,res_5,None
102,식당,순풍해장국,제주 제주시 진군남4길 7-8 1층,콩나물선지국,res_6,None
103,식당,미풍해장국,제주 제주시 중앙로14길 13,해장국백반,res_7,None
104,식당,신설오름,제주 제주시 고마로17길 2,몸국,res_8,None
105,식당,제주시새우리,제주 제주시 무근성7길 24 제주시 새우리,딱새우김밥,res_9,None
106,식당,돈사돈,제주 제주시 우평로 19,흑돼지삼겹살,res_10,None
107,식당,제주광해,제주 제주시 애월읍 애월해안로 867 2층,갈치조림,res_11,None
108,식당,슬슬슬로우,제주 제주시 구좌읍 덕행로 207 1층,돔베라면,res_12,None
109,식당,명진전복,제주 제주시 구좌읍 해맞이해안로 1282,전복밥,res_13,None
110,식당,톰톰카레,제주 제주시 구좌읍 해맞이해안로 1112,카레,res_14,None
111,식당,세러데이아일랜드,제주 제주시 구좌읍 평대7길 51,전복리조또,res_15,None
